ingredient_id,ingredient_name
1,Olive oil
2,Smoked streaky bacon
3,Onions
4,Garlic cloves
5,Lean minced beef
6,Red wine
7,Cans chopped tomatoes
8,Antipasti marinated mushroom
9,Bay leaves
10,Oregano
11,Thyme
12,Balsamic vinegar
13,Sun dried tomatoes
14,Pepper
15,Salt
16,Basil
17,Spaghetti
18,Parmesan
19,Self raising flour
20,Caster sugar
21,Baking powder
22,Almond milk
23,Soya milk 
24,Vanilla extract
25,Sunflower oil
26,Vegetable oil
27,Yoghurt
28,Ginger
29,Kashmiri red chilli powder
30,Cumin
31,Cardamom seeds
32,Lime
33,Coriander
34,Mint leaves
35,Green chillies
36,Lamb tenderloin
37,Double cream
38,Full fat milk
39,Saffron strands
40,Basmati rice
41,Pomegranate seeds
42,Couscous
43,Preserved lemons
44,Dried cranberries
45,Pine nuts
46,Unsalted shelled pistachio nuts
47,Flatleaf parsley
48,Red wine vinegar
49,Red onion
50,Rocket leaves
51,Digestive biscuits
52,Granulated sugar
53,Ground cardamom
54,Unsalted butter
55,Powdered gelatine
56,Cream cheese
57,Alfonso mango pulp
