quantity_id,recipe_id,ingredient_id,ingredient_measurement,ingredient_quantity
1,1,1,2,tbsp
2,1,2,6,rashers
3,1,3,2,large
4,1,4,3,cloves
5,1,5,1,kilogram
6,1,6,2, large glasses
7,1,7,800,grams
8,1,8,290,grams
9,1,9,2,leaves
10,1,10,1,tsp
11,1,11,1,tsp
12,1,12,,drizzle
13,1,13,13,halves
14,1,14,NULL,NULL
15,1,15,NULL,NULL
16,1,16,,Handful
17,1,17,1,kilogram
18,1,18,,lots
19,2,19,125,grams
20,2,20,2, tbsp
21,2,21,1,tsp
22,2,22,150,mililitres 
23,2,23,150,mililitres 
24,2,24,1/4, tsp
25,2,25,4, tsp
26,2,14,,pinch
27,3,26,5,tbsp
28,3,3,2,large
29,3,27,200,grams
30,3,28,4,tbsp
31,3,4,3,tbsp
32,3,29,2,tsp
33,3,30,5,tsp
34,3,31,1,tsp
35,3,14,4,tsp
36,3,32,1,juice only
37,3,33,30,grams
38,3,34,30,grams
39,3,35,4,chillies
40,3,36,800,grams
41,3,37,4,tbsp
42,3,38,1 1/2,tbsp
43,3,39,1,tsp
44,3,40,400,grams
45,3,41,2,tbsp
46,4,42,225,grams
47,4,43,8,lemons
48,4,44,180,grams
49,4,45,120,grams
50,4,46,160,grams
51,4,1,125,mililitres 
52,4,47,60,grams
53,4,4,4,cloves
54,4,48,4,tbsp
55,4,49,1,large
56,4,14,1,tsp
57,4,50,80,grams
58,5,51,280,grams
59,5,52,65,grams
60,5,53,1/4,tsp
61,5,54,128,grams
62,5,14,,pinch
63,5,52,100,grams
64,5,55,2,tbsp
65,5,37,120,mililitres 
66,5,56,115,grams
67,5,57,850,grams
68,5,14,NULL,pinch
